Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person and Vehicle search,2022-11-07T20:27:00+00:00,51.579407,-0.323853,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,2022-11-07 20:27:00+00:00
Person and Vehicle search,2022-11-07T20:30:00+00:00,51.342028,-0.064934,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2022-11-07 20:30:00+00:00
Person search,2022-11-07T20:30:00+00:00,51.557412,-0.248724,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2022-11-07 20:30:00+00:00
Person search,2022-11-07T20:30:00+00:00,51.551174,0.073848,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2022-11-07 20:30:00+00:00
Person search,2022-11-07T20:35:00+00:00,51.342028,-0.064934,Female,18-24,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2022-11-07 20:35:00+00:00
Person search,2022-11-07T20:35:00+00:00,51.502641,-0.00079,Female,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2022-11-07 20:35:00+00:00
Person search,2022-11-07T20:37:00+00:00,51.579407,-0.323853,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,2022-11-07 20:37:00+00:00
Person search,2022-11-07T20:42:00+00:00,51.348355,-0.044663,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2022-11-07 20:42:00+00:00
Person and Vehicle search,2022-11-07T20:45:00+00:00,51.502641,-0.00079,Female,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-07 20:45:00+00:00
Person search,2022-11-07T20:51:00+00:00,51.52761,-0.20695,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2022-11-07 20:51:00+00:00
Person search,2022-11-07T20:54:00+00:00,51.515225,-0.069709,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2022-11-07 20:54:00+00:00
Person and Vehicle search,2022-11-07T21:00:00+00:00,51.341428,-0.144575,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Summons / charged by post,,,2022-11-07 21:00:00+00:00
Person search,2022-11-07T21:10:00+00:00,51.541519,0.047552,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-07 21:10:00+00:00
Person search,2022-11-07T21:12:00+00:00,51.539708,0.046706,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-07 21:12:00+00:00
Person search,2022-11-07T21:12:00+00:00,51.562876,-0.272175,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-07 21:12:00+00:00
Person search,2022-11-07T21:15:00+00:00,51.400512,-0.270538,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2022-11-07 21:15:00+00:00
Person search,2022-11-07T21:15:00+00:00,51.474956,-0.140371,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2022-11-07 21:15:00+00:00
Person search,2022-11-07T21:15:00+00:00,51.474956,-0.140371,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2022-11-07 21:15:00+00:00
Person search,2022-11-07T21:15:00+00:00,51.384667,0.109873,Female,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2022-11-07 21:15:00+00:00
Person search,2022-11-07T21:20:00+00:00,51.55198,0.113293,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,2022-11-07 21:20:00+00:00
Person and Vehicle search,2022-11-07T21:24:00+00:00,51.561801,-0.056816,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-07 21:24:00+00:00
Person search,2022-11-07T21:24:00+00:00,51.561801,-0.056816,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-07 21:24:00+00:00
Person and Vehicle search,2022-11-07T21:30:00+00:00,51.561801,-0.056816,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Penalty Notice for Disorder,,,2022-11-07 21:30:00+00:00
Person search,2022-11-07T21:40:00+00:00,51.55198,0.113293,Male,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2022-11-07 21:40:00+00:00
Person search,2022-11-07T21:45:00+00:00,51.51023,-0.326349,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-07 21:45:00+00:00
Person search,2022-11-07T21:45:00+00:00,51.561801,-0.056816,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2022-11-07 21:45:00+00:00
Person search,2022-11-07T21:50:00+00:00,51.517366,-0.073035,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-07 21:50:00+00:00
Person search,2022-11-07T22:00:00+00:00,51.535237,0.036441,Female,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-07 22:00:00+00:00
Person and Vehicle search,2022-11-07T22:01:00+00:00,51.535237,0.036441,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-07 22:01:00+00:00
Person and Vehicle search,2022-11-07T22:30:00+00:00,51.370592,-0.025743,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-07 22:30:00+00:00
Person search,2022-11-07T22:30:00+00:00,51.562815,-0.07198,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2022-11-07 22:30:00+00:00
Person search,2022-11-07T22:30:00+00:00,51.467584,0.032622,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,2022-11-07 22:30:00+00:00
Person search,2022-11-07T22:33:00+00:00,51.424767,-0.187331,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2022-11-07 22:33:00+00:00
