Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2021-04-08T00:20:00+00:00,51.469239,-0.11905,Female,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 00:20:00+00:00
Vehicle search,2021-04-08T00:20:00+00:00,51.453763,-0.147321,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 00:20:00+00:00
Person and Vehicle search,2021-04-08T00:20:00+00:00,51.396351,-0.096065,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 00:20:00+00:00
Person search,2021-04-08T00:24:00+00:00,51.606504,-0.066735,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 00:24:00+00:00
Person and Vehicle search,2021-04-08T00:27:00+00:00,51.530725,-0.206006,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 00:27:00+00:00
Person search,2021-04-08T00:28:00+00:00,51.423988,-0.113486,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,,2021-04-08 00:28:00+00:00
Person and Vehicle search,2021-04-08T00:29:00+00:00,51.530725,-0.206006,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2021-04-08 00:29:00+00:00
Person search,2021-04-08T00:32:00+00:00,51.54592,-0.262045,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2021-04-08 00:32:00+00:00
Person and Vehicle search,2021-04-08T00:35:00+00:00,51.439078,-0.13652,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 00:35:00+00:00
Person search,2021-04-08T00:35:00+00:00,51.513945,-0.269473,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,2021-04-08 00:35:00+00:00
Person and Vehicle search,2021-04-08T00:35:00+00:00,51.439078,-0.13652,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 00:35:00+00:00
Person and Vehicle search,2021-04-08T00:40:00+00:00,51.574938,0.137695,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2021-04-08 00:40:00+00:00
Person and Vehicle search,2021-04-08T00:52:00+00:00,51.545158,0.158091,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2021-04-08 00:52:00+00:00
Person search,2021-04-08T00:55:00+00:00,51.512224,0.066314,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 00:55:00+00:00
Person and Vehicle search,2021-04-08T00:58:00+00:00,51.493487,-0.048342,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,2021-04-08 00:58:00+00:00
Person and Vehicle search,2021-04-08T01:00:00+00:00,51.470678,-0.255791,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,2021-04-08 01:00:00+00:00
Person search,2021-04-08T01:02:00+00:00,51.516803,0.055495,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 01:02:00+00:00
Vehicle search,2021-04-08T01:03:00+00:00,51.470678,-0.255791,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,2021-04-08 01:03:00+00:00
Person search,2021-04-08T01:05:00+00:00,51.547969,0.02511,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,2021-04-08 01:05:00+00:00
