years_of_data,radius_km,team,venue,borough,total_burglaries,unique_lsoas,data_months,match_months,no_match_months,avg_burglary_match,avg_burglary_no_match,difference,percentage_change,t_statistic,p_value_ttest,p_value_mann_whitney,cohens_d,effect_size,significant_ttest,significant_mann_whitney,correlation_matches_burglary,correlation_attendance_burglary,correlation_goals_burglary
10,5,West Ham,London Stadium,Newham,61463,567,100,87,13,624.7126436781609,547.1538461538462,77.55879752431474,14.174952450669078,2.969046599683766,0.0037555182973332286,0.004668671766235809,0.88284754059665,Large,True,True,0.17005601440990994,0.2989107753825413,0.033445771046728044
10,10,Arsenal,Emirates Stadium,Islington,235558,1889,100,87,13,2400.632183908046,2054.076923076923,346.5552608311232,16.871581435810963,3.1893423992447514,0.0019152188247682255,0.0030555281934607904,0.9483526104284621,Large,True,True,0.15789664926551605,0.41651027736917706,0.22509592496975092
10,10,Chelsea,Stamford Bridge,Hammersmith and Fulham,206281,1709,100,88,12,2105.0227272727275,1753.25,351.7727272727275,20.064036918450164,3.4201491080132858,0.0009137698392609673,0.001435176653573901,1.0524781326924757,Large,True,True,0.13091731183656,0.48344953945717434,0.15357820801377675
10,10,Tottenham,Wembley Stadium,Haringey,132735,1227,100,88,12,1360.9545454545455,1080.9166666666667,280.03787878787875,25.90744387830194,3.620833026839519,0.00046709799289346734,0.0006489501433419744,1.1142343396522167,Large,True,True,0.17292455391267064,0.35689326366947866,0.21811370353452564
10,10,West Ham,London Stadium,Newham,204462,1771,100,87,13,2083.390804597701,1785.1538461538462,298.23695844385475,16.70651294768868,2.9997094237274124,0.0034262530186020164,0.00305526360751432,0.8919651471702772,Large,True,True,0.17377622758185152,0.3349978938224209,0.057049769052021165
15,2,Arsenal,Emirates Stadium,Islington,20394,131,143,124,19,140.20967741935485,79.3157894736842,60.89388794567064,76.77397949354628,5.8206548208182,3.7833919836399074e-08,3.738531333377737e-06,1.4340101357617578,Large,True,True,0.2986803420474796,0.3979669586316153,0.23958881556601164
15,2,Chelsea,Stamford Bridge,Hammersmith and Fulham,18648,132,143,125,18,127.208,70.88888888888889,56.31911111111111,79.44702194357367,5.89506429843833,2.6392256818795448e-08,7.445859712143531e-06,1.486159103315848,Large,True,True,0.30553702858468856,0.39119568169288693,0.11873427293499501
15,2,Tottenham,Wembley Stadium,Haringey,7779,65,143,125,18,52.872,25.333333333333332,27.538666666666668,108.70526315789475,5.027169594698828,1.4866390562953232e-06,6.211653869354042e-06,1.2673608766325937,Large,True,True,0.3100575694489324,0.2694718715781187,0.1550766484209481
15,2,West Ham,London Stadium,Newham,12167,95,143,114,29,87.24561403508773,51.758620689655174,35.48699334543255,68.56247881529274,7.318878298537112,1.7366776023907624e-11,2.7124230380110137e-05,1.5221628548377881,Large,True,True,0.397046385200755,0.4805056011588012,0.3045681662819208
15,5,Arsenal,Emirates Stadium,Islington,117171,569,143,124,19,813.0725806451613,458.3157894736842,354.7567911714771,77.40444455969299,6.460151034808082,1.5822006022958482e-09,1.34000208614596e-07,1.5915601161115378,Large,True,True,0.31852326124744995,0.4513756090993561,0.3024287560319101
15,5,Chelsea,Stamford Bridge,Hammersmith and Fulham,94476,564,143,125,18,652.84,356.72222222222223,296.1177777777778,83.01074598972123,6.704698006178303,4.496246931931462e-10,2.1471673782736336e-07,1.6902696005377151,Large,True,True,0.34559645077720796,0.4618313654171338,0.17295980010537118
15,5,Tottenham,Wembley Stadium,Haringey,48681,332,143,125,18,334.128,155.16666666666666,178.96133333333333,115.33490870032223,6.118381113257407,8.821868329662371e-09,1.946520959402325e-07,1.5424577797110819,Large,True,True,0.3767791492818534,0.2865213322436788,0.19573444940436488
15,5,West Ham,London Stadium,Newham,90170,567,143,114,29,641.3859649122807,379.7931034482759,261.5928614640048,68.87772818645487,8.231518934688243,1.1217986454023279e-13,1.4481876975773085e-06,1.7119716779251248,Large,True,True,0.4300376809229032,0.4347831209367582,0.3432685323598889
15,10,Arsenal,Emirates Stadium,Islington,351613,1890,143,124,19,2423.3064516129034,1405.421052631579,1017.8853989813244,72.42565472285946,6.344089053010477,2.851275118043165e-09,6.909003864044061e-07,1.5629664160214565,Large,True,True,0.3295503476771927,0.45415715537736545,0.3244830094802874
15,10,Chelsea,Stamford Bridge,Hammersmith and Fulham,310709,1709,143,125,18,2140.208,1168.8333333333333,971.3746666666668,83.10634535861972,6.627565344530468,6.702870246840164e-10,3.9075009921982545e-07,1.6708242812896663,Large,True,True,0.33001371124517764,0.4893902984096835,0.19968026921510398
15,10,Tottenham,Wembley Stadium,Haringey,205611,1228,143,125,18,1413.032,720.6111111111111,692.4208888888888,96.08801171844884,6.608466954943243,7.396875684964233e-10,1.85381370106014e-07,1.6660095338828826,Large,True,True,0.40446092921660626,0.34368462796772453,0.20309812691863555
15,10,West Ham,London Stadium,Newham,308179,1771,143,114,29,2164.2631578947367,1343.0689655172414,821.1941923774953,61.14311427494252,6.968645284987214,1.1281103096216824e-10,0.00012106064204805732,1.4493222278977134,Large,True,True,0.38520462649808773,0.3886068264928507,0.30323309974897555
