Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2019-11-01T18:30:00+00:00,51.509609,-0.209992,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:30:00+00:00
Person and Vehicle search,2019-11-01T18:30:00+00:00,51.394814,-0.174098,Female,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:30:00+00:00
Person search,2019-11-01T18:30:00+00:00,,,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:30:00+00:00
Person search,2019-11-01T18:34:00+00:00,51.524695,-0.173044,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,2019-11-01 18:34:00+00:00
Person and Vehicle search,2019-11-01T18:35:00+00:00,51.48728,0.145807,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:35:00+00:00
Person search,2019-11-01T18:35:00+00:00,51.429251,-0.039083,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2019-11-01 18:35:00+00:00
Person search,2019-11-01T18:36:00+00:00,51.51504,0.059076,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,2019-11-01 18:36:00+00:00
Person search,2019-11-01T18:36:00+00:00,51.552769,-0.111683,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2019-11-01 18:36:00+00:00
Person search,2019-11-01T18:37:00+00:00,51.486465,0.147123,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:37:00+00:00
Vehicle search,2019-11-01T18:38:00+00:00,51.531712,0.147896,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Penalty Notice for Disorder,,,2019-11-01 18:38:00+00:00
Person search,2019-11-01T18:38:00+00:00,51.450383,0.058022,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:38:00+00:00
Person search,2019-11-01T18:38:00+00:00,51.401424,-0.291579,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:38:00+00:00
Person search,2019-11-01T18:38:00+00:00,51.494542,-0.083952,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2019-11-01 18:38:00+00:00
Person search,2019-11-01T18:40:00+00:00,51.489437,0.086084,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:40:00+00:00
Person search,2019-11-01T18:40:00+00:00,51.531712,0.147896,Female,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,,,2019-11-01 18:40:00+00:00
Person search,2019-11-01T18:41:00+00:00,51.531777,0.085986,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2019-11-01 18:41:00+00:00
Person search,2019-11-01T18:45:00+00:00,51.564096,0.032752,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:45:00+00:00
Person search,2019-11-01T18:45:00+00:00,51.394814,-0.174098,Female,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:45:00+00:00
Person search,2019-11-01T18:45:00+00:00,51.564096,0.032752,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:45:00+00:00
Person search,2019-11-01T18:45:00+00:00,,,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,A no further action disposal,,,2019-11-01 18:45:00+00:00
Person search,2019-11-01T18:45:00+00:00,,,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2019-11-01 18:45:00+00:00
Person search,2019-11-01T18:46:00+00:00,51.432977,-0.018422,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:46:00+00:00
Person search,2019-11-01T18:47:00+00:00,51.429494,-0.029434,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2019-11-01 18:47:00+00:00
Person search,2019-11-01T18:48:00+00:00,51.430727,-0.037581,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:48:00+00:00
Person search,2019-11-01T18:49:00+00:00,51.496194,-0.082702,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2019-11-01 18:49:00+00:00
Person search,2019-11-01T18:50:00+00:00,51.514225,-0.019437,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Fireworks,A no further action disposal,,,2019-11-01 18:50:00+00:00
Person search,2019-11-01T18:50:00+00:00,51.536547,0.177324,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 18:50:00+00:00
Person search,2019-11-01T18:50:00+00:00,51.536547,0.177324,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,2019-11-01 18:50:00+00:00
Person search,2019-11-01T18:50:00+00:00,51.495451,-0.111186,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2019-11-01 18:50:00+00:00
Vehicle search,2019-11-01T18:50:00+00:00,51.536547,0.177324,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2019-11-01 18:50:00+00:00
Person search,2019-11-01T18:55:00+00:00,51.389495,0.028957,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2019-11-01 18:55:00+00:00
Person search,2019-11-01T19:00:00+00:00,51.539189,-0.142008,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 19:00:00+00:00
Person search,2019-11-01T19:00:00+00:00,51.389495,0.028957,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2019-11-01 19:00:00+00:00
Person search,2019-11-01T19:00:00+00:00,51.515016,-0.210774,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 19:00:00+00:00
Person search,2019-11-01T19:00:00+00:00,51.548246,-0.106663,Male,,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,,,2019-11-01 19:00:00+00:00
Person search,2019-11-01T19:00:00+00:00,51.617264,-0.064819,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 19:00:00+00:00
Person search,2019-11-01T19:00:00+00:00,51.548246,-0.106663,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Fireworks,A no further action disposal,,,2019-11-01 19:00:00+00:00
Person search,2019-11-01T19:00:00+00:00,51.60868,-0.06725,Male,,Police and Criminal Evidence Act 1984 (section 1),Fireworks,A no further action disposal,,,2019-11-01 19:00:00+00:00
Person search,2019-11-01T19:02:00+00:00,51.490647,-0.132934,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 19:02:00+00:00
Person search,2019-11-01T19:05:00+00:00,51.565019,0.18838,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2019-11-01 19:05:00+00:00
Person search,2019-11-01T19:07:00+00:00,51.514225,-0.019437,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Fireworks,A no further action disposal,,,2019-11-01 19:07:00+00:00
