Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person and Vehicle search,2025-01-26T00:39:07+00:00,51.515383,-0.078783,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,True,False,2025-01-26 00:39:07+00:00
Person and Vehicle search,2025-01-26T00:40:22+00:00,51.529143,-0.100968,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2025-01-26 00:40:22+00:00
Person and Vehicle search,2025-01-26T00:41:53+00:00,51.515383,-0.078783,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2025-01-26 00:41:53+00:00
Person search,2025-01-26T04:34:36+00:00,51.511794,-0.101906,Female,25-34,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,A no further action disposal,False,False,2025-01-26 04:34:36+00:00
Person search,2025-01-26T05:16:57+00:00,51.511794,-0.101906,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2025-01-26 05:16:57+00:00
Person search,2025-01-26T05:31:08+00:00,51.512685,-0.101393,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2025-01-26 05:31:08+00:00
Person search,2025-01-26T06:12:08+00:00,51.511794,-0.101906,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,A no further action disposal,True,False,2025-01-26 06:12:08+00:00
Person and Vehicle search,2025-01-29T05:19:44+00:00,,,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2025-01-29 05:19:44+00:00
Person search,2025-01-29T14:36:29+00:00,51.513736,-0.095224,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2025-01-29 14:36:29+00:00
Person search,2025-01-29T14:41:53+00:00,51.513736,-0.095224,Female,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2025-01-29 14:41:53+00:00
